Index,Product_Registration,File_Path,File_Name,DLP_File_Date_UTC,Time_Zone_Offset,Number_Recordings,File_Hours,ClientGroup_Name,ClientGroup_ID,Child_ChildKey,Child_ChildID,Child_DOB,Child_Age,Child_Gender,Child_EnrollDate,DLP,ITS_Version,AWC,Turn_Count,Child_Voc_Count,FAN_Word_Count,MAN_Word_Count,SIL,Recording_Index,Elapsed_Time,Clock_Time_TZAdj,Audio_Duration
31,N/A,C:\Users\salov\Desktop,20210321_202437_029783.its,2021-03-21 12:00:58,-1,1,13.36,N/A,N/A,LMV2.6.19b.20201007204127.51526,N/A,2020-03-08,12,F,N/A,29783,5.0.1,172.00,2.00,2.00,131.42,40.55,39.34,1.00,8942.00,03/21/2021 15:30:00,300.00
32,N/A,C:\Users\salov\Desktop,20210321_202437_029783.its,2021-03-21 12:00:58,-1,1,13.36,N/A,N/A,LMV2.6.19b.20201007204127.51526,N/A,2020-03-08,12,F,N/A,29783,5.0.1,124.00,0.00,1.00,102.03,21.90,95.56,1.00,9242.00,03/21/2021 15:35:00,300.00
33,N/A,C:\Users\salov\Desktop,20210321_202437_029783.its,2021-03-21 12:00:58,-1,1,13.36,N/A,N/A,LMV2.6.19b.20201007204127.51526,N/A,2020-03-08,12,F,N/A,29783,5.0.1,54.00,3.00,3.00,17.24,36.76,31.97,1.00,9542.00,03/21/2021 15:40:00,300.00
34,N/A,C:\Users\salov\Desktop,20210321_202437_029783.its,2021-03-21 12:00:58,-1,1,13.36,N/A,N/A,LMV2.6.19b.20201007204127.51526,N/A,2020-03-08,12,F,N/A,29783,5.0.1,222.00,0.00,0.00,38.38,183.60,22.30,1.00,9842.00,03/21/2021 15:45:00,300.00
35,N/A,C:\Users\salov\Desktop,20210321_202437_029783.its,2021-03-21 12:00:58,-1,1,13.36,N/A,N/A,LMV2.6.19b.20201007204127.51526,N/A,2020-03-08,12,F,N/A,29783,5.0.1,198.00,1.00,1.00,97.22,100.84,23.74,1.00,10142.00,03/21/2021 15:50:00,300.00
36,N/A,C:\Users\salov\Desktop,20210321_202437_029783.its,2021-03-21 12:00:58,-1,1,13.36,N/A,N/A,LMV2.6.19b.20201007204127.51526,N/A,2020-03-08,12,F,N/A,29783,5.0.1,269.00,4.00,4.00,187.38,81.57,35.91,1.00,10442.00,03/21/2021 15:55:00,300.00
37,N/A,C:\Users\salov\Desktop,20210321_202437_029783.its,2021-03-21 12:00:58,-1,1,13.36,N/A,N/A,LMV2.6.19b.20201007204127.51526,N/A,2020-03-08,12,F,N/A,29783,5.0.1,79.00,1.00,2.00,18.34,60.49,4.26,1.00,10742.00,03/21/2021 16:00:00,300.00
38,N/A,C:\Users\salov\Desktop,20210321_202437_029783.its,2021-03-21 12:00:58,-1,1,13.36,N/A,N/A,LMV2.6.19b.20201007204127.51526,N/A,2020-03-08,12,F,N/A,29783,5.0.1,44.00,0.00,0.00,11.42,32.75,1.87,1.00,11042.00,03/21/2021 16:05:00,300.00
39,N/A,C:\Users\salov\Desktop,20210321_202437_029783.its,2021-03-21 12:00:58,-1,1,13.36,N/A,N/A,LMV2.6.19b.20201007204127.51526,N/A,2020-03-08,12,F,N/A,29783,5.0.1,81.00,2.00,3.00,47.56,33.41,3.59,1.00,11342.00,03/21/2021 16:10:00,300.00
40,N/A,C:\Users\salov\Desktop,20210321_202437_029783.its,2021-03-21 12:00:58,-1,1,13.36,N/A,N/A,LMV2.6.19b.20201007204127.51526,N/A,2020-03-08,12,F,N/A,29783,5.0.1,27.00,3.00,12.00,5.85,20.54,0.00,1.00,11642.00,03/21/2021 16:15:00,300.00
